epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.399,1.31645,5.14457,0.95937,0.54387,0.10137,0.0706,0.05108,1.17557,2.93035,0.90585,5.94814e-05,5.94814e-05,5.94814e-05
2,60.7906,1.21145,3.55324,0.89824,0.61088,0.17467,0.17385,0.1215,1.06498,2.05938,0.8859,0.000117968,0.000117968,0.000117968
3,89.1465,1.12569,2.81474,0.89477,0.62934,0.27166,0.29327,0.20593,1.01151,1.62163,0.87672,0.000175274,0.000175274,0.000175274
4,115.905,1.08315,2.33736,0.88205,0.65425,0.36805,0.41198,0.29475,0.98059,1.32842,0.86826,0.000173684,0.000173684,0.000173684
5,142.477,1.0381,2.0101,0.87557,0.66516,0.41929,0.48961,0.36117,0.9239,1.15048,0.85639,0.000171912,0.000171912,0.000171912
6,171.829,1.0077,1.7804,0.87226,0.72248,0.49136,0.55696,0.40445,0.89416,1.02996,0.8466,0.000170139,0.000170139,0.000170139
7,201.075,0.9746,1.60443,0.86863,0.73177,0.58639,0.64557,0.4726,0.89619,0.94755,0.85196,0.000168367,0.000168367,0.000168367
8,230.61,0.95542,1.46634,0.86693,0.77709,0.59831,0.68812,0.5005,0.87821,0.87662,0.84829,0.000166595,0.000166595,0.000166595
9,259.592,0.95035,1.37469,0.86314,0.80114,0.65302,0.74048,0.54069,0.87407,0.84936,0.85031,0.000164823,0.000164823,0.000164823
10,288.454,0.94581,1.29373,0.86072,0.81358,0.68071,0.77641,0.56411,0.86141,0.78916,0.84688,0.000163051,0.000163051,0.000163051
11,316.939,0.92708,1.22175,0.85882,0.81627,0.74546,0.82127,0.5947,0.85492,0.7531,0.84511,0.000161279,0.000161279,0.000161279
12,347.866,0.90777,1.13822,0.85472,0.83422,0.74304,0.84301,0.62098,0.83399,0.71132,0.84178,0.000159507,0.000159507,0.000159507
13,377.397,0.88982,1.07951,0.85261,0.86203,0.77779,0.86152,0.62667,0.82957,0.66128,0.84188,0.000157735,0.000157735,0.000157735
14,407.513,0.88716,1.0342,0.85218,0.88175,0.79196,0.88263,0.64123,0.83912,0.65731,0.84161,0.000155963,0.000155963,0.000155963
15,435.534,0.87119,0.99669,0.85027,0.86405,0.81801,0.90259,0.6595,0.81854,0.6382,0.83813,0.000154191,0.000154191,0.000154191
16,464.19,0.88249,0.96987,0.85088,0.89243,0.819,0.9112,0.66381,0.83617,0.61387,0.84203,0.000152418,0.000152418,0.000152418
17,491.303,0.85225,0.92303,0.84966,0.85485,0.8359,0.90469,0.65938,0.81498,0.6254,0.83744,0.000150646,0.000150646,0.000150646
18,518.088,0.86874,0.91967,0.85048,0.87899,0.83078,0.9131,0.6671,0.81365,0.60246,0.83575,0.000148874,0.000148874,0.000148874
19,544.988,0.85633,0.88736,0.84729,0.86579,0.85785,0.93293,0.69337,0.80251,0.58392,0.8352,0.000147102,0.000147102,0.000147102
20,571.671,0.84953,0.86119,0.84546,0.90847,0.83716,0.9396,0.69839,0.79702,0.5919,0.83419,0.00014533,0.00014533,0.00014533
21,598.315,0.83623,0.83932,0.84261,0.90482,0.87503,0.95088,0.70018,0.81864,0.58298,0.83654,0.000143558,0.000143558,0.000143558
22,625.192,0.83404,0.80881,0.84646,0.89084,0.89315,0.94773,0.70491,0.79425,0.55382,0.8323,0.000141786,0.000141786,0.000141786
23,651.986,0.83919,0.79453,0.84184,0.92957,0.87087,0.95106,0.70957,0.79844,0.55416,0.83406,0.000140014,0.000140014,0.000140014
24,678.734,0.83585,0.77513,0.83951,0.86887,0.93887,0.95298,0.71249,0.79696,0.56267,0.8356,0.000138242,0.000138242,0.000138242
