epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.226,1.30532,5.13566,0.95881,0.52011,0.10504,0.07257,0.05273,1.15007,2.87197,0.89033,5.94814e-05,5.94814e-05,5.94814e-05
2,57.8581,1.22659,3.54813,0.90756,0.53585,0.20239,0.16345,0.11448,1.05332,2.10816,0.88493,0.00011443,0.00011443,0.00011443
3,85.0884,1.14774,2.87265,0.89064,0.69281,0.25852,0.29776,0.21107,1.00829,1.66161,0.86805,0.000164653,0.000164653,0.000164653
4,112.378,1.06273,2.36857,0.88418,0.59263,0.35741,0.37109,0.26956,0.95257,1.40115,0.85625,0.000157735,0.000157735,0.000157735
5,139.626,1.05421,2.08282,0.87803,0.73033,0.39859,0.47416,0.34401,0.93567,1.2023,0.85386,0.000150646,0.000150646,0.000150646
6,166.731,1.02107,1.85783,0.87074,0.68437,0.47387,0.53398,0.38605,0.9215,1.08806,0.85138,0.000143558,0.000143558,0.000143558
7,193.96,0.98838,1.71179,0.86795,0.5985,0.57174,0.59783,0.43404,0.88016,0.94984,0.84509,0.00013647,0.00013647,0.00013647
8,222.033,0.96429,1.56382,0.86233,0.65775,0.59467,0.66463,0.48946,0.87219,0.88841,0.84276,0.000129381,0.000129381,0.000129381
9,249.545,0.95691,1.46559,0.86476,0.78126,0.61837,0.70692,0.51181,0.85751,0.84239,0.84078,0.000122293,0.000122293,0.000122293
10,277.15,0.92641,1.37052,0.85751,0.79807,0.6574,0.73101,0.53401,0.8672,0.81612,0.84612,0.000115204,0.000115204,0.000115204
11,304.539,0.91393,1.27897,0.85425,0.86122,0.67952,0.78269,0.57359,0.84294,0.75017,0.84021,0.000108116,0.000108116,0.000108116
12,332.215,0.91462,1.23124,0.85392,0.87932,0.68662,0.80768,0.59201,0.84246,0.72828,0.83628,0.000101028,0.000101028,0.000101028
13,359.559,0.90169,1.16778,0.85248,0.82596,0.74124,0.82671,0.61305,0.83203,0.70367,0.83765,9.39392e-05,9.39392e-05,9.39392e-05
14,387.441,0.88624,1.13632,0.85339,0.83552,0.78093,0.85684,0.63507,0.8275,0.6842,0.83714,8.68508e-05,8.68508e-05,8.68508e-05
15,414.84,0.8948,1.12708,0.85429,0.80808,0.79907,0.85961,0.62875,0.83399,0.66477,0.83998,7.97624e-05,7.97624e-05,7.97624e-05
16,448.76,0.88997,1.26909,0.85146,0.83972,0.79282,0.85774,0.632,0.82407,0.67348,0.8336,7.2674e-05,7.2674e-05,7.2674e-05
17,476.474,0.84899,1.18144,0.84416,0.90902,0.77529,0.88859,0.65506,0.83225,0.64112,0.834,6.55856e-05,6.55856e-05,6.55856e-05
18,504.218,0.85387,1.14517,0.84407,0.88093,0.79525,0.88275,0.64371,0.82927,0.63021,0.83446,5.84972e-05,5.84972e-05,5.84972e-05
19,532.064,0.83539,1.10234,0.83975,0.89048,0.81099,0.90513,0.66285,0.81641,0.61754,0.83372,5.14088e-05,5.14088e-05,5.14088e-05
20,559.601,0.82945,1.07739,0.83818,0.90009,0.82236,0.91444,0.67056,0.81421,0.60036,0.83424,4.43204e-05,4.43204e-05,4.43204e-05
21,587.32,0.82531,1.05316,0.83939,0.91236,0.81787,0.91913,0.67766,0.80676,0.59674,0.83173,3.7232e-05,3.7232e-05,3.7232e-05
22,614.919,0.81919,1.04796,0.84092,0.91446,0.82434,0.92346,0.68373,0.79939,0.5835,0.83136,3.01436e-05,3.01436e-05,3.01436e-05
23,642.404,0.80095,1.00843,0.83662,0.93916,0.81831,0.92815,0.68271,0.80289,0.57664,0.83248,2.30552e-05,2.30552e-05,2.30552e-05
24,670.947,0.80668,1.01546,0.83725,0.9384,0.8254,0.92867,0.68474,0.80132,0.5732,0.83252,1.59668e-05,1.59668e-05,1.59668e-05
25,698.405,0.80354,0.99644,0.839,0.9241,0.82929,0.92971,0.68859,0.79573,0.57073,0.83165,8.8784e-06,8.8784e-06,8.8784e-06
