epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6827,1.31712,5.14791,0.95934,0.54978,0.09797,0.07098,0.05104,1.16794,2.9401,0.90344,5.94814e-05,5.94814e-05,5.94814e-05
2,121.317,1.21145,3.55928,0.89834,0.57741,0.18148,0.16846,0.11652,1.07177,2.05068,0.88612,0.000117968,0.000117968,0.000117968
3,189.322,1.12864,2.81967,0.89606,0.6315,0.27397,0.29546,0.20811,1.01809,1.65559,0.8758,0.000175274,0.000175274,0.000175274
4,255.7,1.08768,2.35476,0.88195,0.61665,0.3892,0.41513,0.29882,0.97528,1.34608,0.85903,0.000173684,0.000173684,0.000173684
5,317.723,1.04006,2.02144,0.8723,0.6359,0.43278,0.48551,0.35517,0.93663,1.16946,0.85846,0.000171912,0.000171912,0.000171912
6,378.707,1.01023,1.80586,0.87239,0.73963,0.49743,0.56219,0.40868,0.91246,1.05579,0.85102,0.000170139,0.000170139,0.000170139
7,442.498,0.97863,1.63058,0.87037,0.696,0.59822,0.63834,0.47156,0.88576,0.9495,0.85024,0.000168367,0.000168367,0.000168367
8,504.337,0.95957,1.48287,0.86807,0.74934,0.6533,0.71088,0.51805,0.88095,0.8482,0.8476,0.000166595,0.000166595,0.000166595
9,566.498,0.95232,1.37498,0.86461,0.79811,0.6525,0.73712,0.54146,0.87011,0.83327,0.85091,0.000164823,0.000164823,0.000164823
10,632.219,0.94581,1.29122,0.86201,0.85509,0.67035,0.77811,0.56896,0.87079,0.78711,0.85037,0.000163051,0.000163051,0.000163051
11,698.053,0.92856,1.22282,0.85977,0.85756,0.72616,0.81981,0.59439,0.85945,0.7312,0.84558,0.000161279,0.000161279,0.000161279
12,764.383,0.91026,1.13917,0.85535,0.83545,0.73388,0.83164,0.61173,0.83194,0.70704,0.84322,0.000159507,0.000159507,0.000159507
13,828.711,0.89713,1.0919,0.85438,0.89849,0.73309,0.85741,0.62372,0.84339,0.68397,0.84256,0.000157735,0.000157735,0.000157735
14,891.901,0.88866,1.04198,0.85217,0.88296,0.77856,0.8708,0.63681,0.8402,0.6595,0.84334,0.000155963,0.000155963,0.000155963
15,965.486,0.86989,1.00163,0.85102,0.91166,0.80304,0.89564,0.65859,0.82104,0.6304,0.83798,0.000154191,0.000154191,0.000154191
16,1032.35,0.8803,0.97746,0.85062,0.9093,0.80509,0.90804,0.65896,0.83604,0.63257,0.8427,0.000152418,0.000152418,0.000152418
17,1096.58,0.84988,0.92496,0.84933,0.89229,0.78776,0.91372,0.66889,0.81604,0.65148,0.83877,0.000150646,0.000150646,0.000150646
18,1158.26,0.86294,0.91985,0.85012,0.91637,0.79989,0.92223,0.67763,0.81507,0.60625,0.83867,0.000148874,0.000148874,0.000148874
19,1221.42,0.85749,0.88584,0.84854,0.89,0.87527,0.93783,0.69413,0.80308,0.57163,0.83798,0.000147102,0.000147102,0.000147102
20,1291.61,0.84944,0.86128,0.84654,0.84632,0.89318,0.94312,0.70009,0.79446,0.58286,0.83364,0.00014533,0.00014533,0.00014533
21,1357.79,0.83755,0.84092,0.84308,0.91559,0.86184,0.94828,0.699,0.81534,0.5744,0.83755,0.000143558,0.000143558,0.000143558
22,1424.88,0.83336,0.81297,0.8463,0.92916,0.86284,0.95231,0.70863,0.7943,0.56262,0.83371,0.000141786,0.000141786,0.000141786
23,1483.62,0.84057,0.79698,0.84249,0.92488,0.88172,0.95338,0.70548,0.79841,0.55921,0.83562,0.000140014,0.000140014,0.000140014
24,1542.28,0.83911,0.77921,0.84035,0.9016,0.91927,0.95455,0.70716,0.81066,0.56465,0.84086,0.000138242,0.000138242,0.000138242
25,1600.35,0.8245,0.76801,0.84317,0.92949,0.89266,0.96134,0.70729,0.80436,0.55464,0.83495,0.00013647,0.00013647,0.00013647
26,1658.79,0.81615,0.73738,0.8385,0.91004,0.89945,0.95764,0.71706,0.7834,0.54324,0.83239,0.000134697,0.000134697,0.000134697
27,1717.45,0.81249,0.73944,0.83997,0.92729,0.90254,0.96006,0.71798,0.78908,0.53932,0.83553,0.000132925,0.000132925,0.000132925
28,1773.37,0.81681,0.72415,0.84406,0.93744,0.91606,0.9588,0.72362,0.78874,0.54418,0.83664,0.000131153,0.000131153,0.000131153
29,1829.7,0.80273,0.71547,0.83904,0.89301,0.94219,0.96167,0.72408,0.7744,0.52201,0.83124,0.000129381,0.000129381,0.000129381
30,1886.24,0.80757,0.70398,0.83793,0.85104,0.95206,0.96129,0.71963,0.79207,0.5232,0.83581,0.000127609,0.000127609,0.000127609
31,1942.52,0.80116,0.6856,0.84134,0.94398,0.90007,0.96238,0.72233,0.78774,0.52648,0.83773,0.000125837,0.000125837,0.000125837
32,1999.39,0.78746,0.67124,0.83465,0.91873,0.90683,0.96086,0.71614,0.79476,0.5223,0.83635,0.000124065,0.000124065,0.000124065
33,2086.48,0.79167,0.66351,0.83744,0.91531,0.93797,0.96867,0.72663,0.77962,0.51277,0.83504,0.000122293,0.000122293,0.000122293
34,2148.85,0.78654,0.6528,0.83634,0.93374,0.90951,0.96591,0.72115,0.79456,0.52117,0.83535,0.000120521,0.000120521,0.000120521
35,2219.42,0.77838,0.63814,0.83695,0.89249,0.95201,0.9645,0.72315,0.77527,0.50594,0.83707,0.000118749,0.000118749,0.000118749
36,2280.4,0.78547,0.63783,0.83711,0.93292,0.92939,0.96879,0.72747,0.78134,0.52198,0.83646,0.000116976,0.000116976,0.000116976
37,2335.24,0.77899,0.62019,0.83282,0.94261,0.92521,0.96806,0.72786,0.7696,0.51185,0.83482,0.000115204,0.000115204,0.000115204
38,2384.67,0.7805,0.62505,0.83752,0.94385,0.9314,0.96772,0.72395,0.76773,0.50167,0.83188,0.000113432,0.000113432,0.000113432
39,2434.13,0.77822,0.61178,0.83229,0.94481,0.92212,0.97005,0.72318,0.77232,0.50035,0.83161,0.00011166,0.00011166,0.00011166
40,2483.76,0.77547,0.61391,0.8324,0.9354,0.92967,0.96777,0.72381,0.7676,0.4907,0.8294,0.000109888,0.000109888,0.000109888
41,2533.2,0.77662,0.60666,0.83612,0.9314,0.93702,0.96692,0.73139,0.77429,0.49328,0.8355,0.000108116,0.000108116,0.000108116
42,2583.42,0.7676,0.59445,0.83305,0.94811,0.93473,0.96929,0.73474,0.75979,0.48662,0.83138,0.000106344,0.000106344,0.000106344
43,2632.78,0.76299,0.59032,0.8305,0.94306,0.93121,0.9704,0.73446,0.76793,0.48888,0.83335,0.000104572,0.000104572,0.000104572
44,2682.53,0.775,0.59034,0.8315,0.93731,0.94339,0.96932,0.7356,0.75821,0.48775,0.83031,0.0001028,0.0001028,0.0001028
45,2732.24,0.76479,0.57877,0.8311,0.94152,0.94448,0.97154,0.73449,0.76569,0.47959,0.83196,0.000101028,0.000101028,0.000101028
46,2783.72,0.75202,0.57009,0.83067,0.93375,0.9399,0.97266,0.73642,0.76192,0.4757,0.82899,9.92555e-05,9.92555e-05,9.92555e-05
47,2837.37,0.74882,0.57254,0.83004,0.94225,0.93586,0.97202,0.7317,0.75838,0.48481,0.83064,9.74834e-05,9.74834e-05,9.74834e-05
48,2888.05,0.74591,0.55934,0.82763,0.93512,0.9418,0.97369,0.74029,0.75692,0.47215,0.83002,9.57113e-05,9.57113e-05,9.57113e-05
49,2939.51,0.76587,0.55849,0.83322,0.93517,0.94258,0.97215,0.73726,0.75571,0.47002,0.82818,9.39392e-05,9.39392e-05,9.39392e-05
50,2995.62,0.745,0.55594,0.82784,0.94395,0.93818,0.97382,0.74346,0.74763,0.46449,0.82628,9.21671e-05,9.21671e-05,9.21671e-05
51,3055.9,0.749,0.55144,0.83186,0.92396,0.94394,0.97435,0.74052,0.75899,0.47078,0.82889,9.0395e-05,9.0395e-05,9.0395e-05
52,3113.59,0.73904,0.54225,0.83079,0.93476,0.94646,0.97419,0.74209,0.75208,0.47437,0.82962,8.86229e-05,8.86229e-05,8.86229e-05
53,3172.18,0.73446,0.54247,0.82853,0.93175,0.93963,0.97407,0.74307,0.75047,0.46161,0.82956,8.68508e-05,8.68508e-05,8.68508e-05
54,3223.68,0.7422,0.53778,0.82834,0.92807,0.94399,0.97276,0.74424,0.74812,0.46051,0.82758,8.50787e-05,8.50787e-05,8.50787e-05
55,3274.61,0.7454,0.53658,0.8287,0.93944,0.94432,0.97424,0.74366,0.74921,0.46095,0.82819,8.33066e-05,8.33066e-05,8.33066e-05
56,3325.1,0.7412,0.53809,0.82822,0.94138,0.94524,0.97474,0.74308,0.74517,0.45917,0.82708,8.15345e-05,8.15345e-05,8.15345e-05
57,3383.56,0.73201,0.52877,0.82811,0.94134,0.93687,0.97313,0.7356,0.75065,0.46458,0.82667,7.97624e-05,7.97624e-05,7.97624e-05
58,3444.49,0.73134,0.52379,0.83016,0.92862,0.95488,0.97394,0.73857,0.74202,0.45814,0.82669,7.79903e-05,7.79903e-05,7.79903e-05
59,3499.82,0.73535,0.5231,0.82659,0.94175,0.93964,0.97528,0.74285,0.73844,0.45009,0.8241,7.62182e-05,7.62182e-05,7.62182e-05
60,3557.01,0.73294,0.52208,0.82531,0.94316,0.93629,0.97447,0.74381,0.74651,0.45138,0.82636,7.44461e-05,7.44461e-05,7.44461e-05
61,3612.28,0.73265,0.51947,0.82451,0.9309,0.94618,0.97526,0.74364,0.74536,0.45309,0.82575,7.2674e-05,7.2674e-05,7.2674e-05
62,3664.96,0.71607,0.50627,0.82325,0.94547,0.93822,0.97569,0.74539,0.74383,0.45162,0.82603,7.09019e-05,7.09019e-05,7.09019e-05
63,3731.26,0.71512,0.50205,0.8246,0.93307,0.94459,0.97404,0.74374,0.7427,0.44987,0.82738,6.91298e-05,6.91298e-05,6.91298e-05
64,3788.14,0.72805,0.5127,0.8293,0.94238,0.94343,0.97649,0.74263,0.74484,0.44397,0.82713,6.73577e-05,6.73577e-05,6.73577e-05
65,3838.56,0.70791,0.49804,0.82564,0.93262,0.94119,0.97594,0.74813,0.74648,0.44218,0.82754,6.55856e-05,6.55856e-05,6.55856e-05
66,3888.2,0.71684,0.50013,0.82381,0.9364,0.94452,0.97463,0.74317,0.74891,0.44616,0.82968,6.38135e-05,6.38135e-05,6.38135e-05
67,3941.11,0.72156,0.49969,0.82481,0.93526,0.94301,0.97353,0.74281,0.74009,0.45105,0.82741,6.20414e-05,6.20414e-05,6.20414e-05
68,4008.08,0.72219,0.49879,0.82821,0.94164,0.9441,0.9751,0.74685,0.74099,0.44704,0.82763,6.02693e-05,6.02693e-05,6.02693e-05
69,4072.34,0.70725,0.49846,0.82553,0.94888,0.93212,0.97296,0.74302,0.7448,0.44295,0.82923,5.84972e-05,5.84972e-05,5.84972e-05
70,4127.5,0.71812,0.49532,0.82414,0.94021,0.9436,0.97252,0.74224,0.74182,0.44612,0.82716,5.67251e-05,5.67251e-05,5.67251e-05
71,4177.98,0.71616,0.4952,0.82433,0.93937,0.93891,0.97627,0.74424,0.7397,0.4412,0.82702,5.4953e-05,5.4953e-05,5.4953e-05
72,4229.1,0.71103,0.4826,0.82165,0.93857,0.95046,0.97671,0.75084,0.73786,0.43853,0.82682,5.31809e-05,5.31809e-05,5.31809e-05
73,4279.2,0.71011,0.48714,0.8249,0.94328,0.9417,0.97553,0.74665,0.73999,0.43795,0.82672,5.14088e-05,5.14088e-05,5.14088e-05
74,4330.16,0.70981,0.48464,0.82581,0.94824,0.94001,0.97517,0.74863,0.73505,0.43687,0.82733,4.96367e-05,4.96367e-05,4.96367e-05
75,4381.48,0.70718,0.48617,0.82262,0.94409,0.9408,0.97566,0.75279,0.73349,0.43533,0.8272,4.78646e-05,4.78646e-05,4.78646e-05
76,4432.05,0.70125,0.46691,0.81894,0.93114,0.95617,0.97494,0.74655,0.73528,0.4333,0.8265,4.60925e-05,4.60925e-05,4.60925e-05
77,4482.28,0.71657,0.47631,0.8228,0.93801,0.94924,0.97546,0.74666,0.73389,0.43216,0.82598,4.43204e-05,4.43204e-05,4.43204e-05
78,4531.76,0.6945,0.46821,0.82116,0.93766,0.95053,0.97475,0.74408,0.73499,0.43218,0.82664,4.25483e-05,4.25483e-05,4.25483e-05
79,4582.87,0.69078,0.47141,0.81719,0.94154,0.95053,0.97618,0.74862,0.73584,0.42937,0.82596,4.07762e-05,4.07762e-05,4.07762e-05
80,4637.44,0.69624,0.46857,0.82157,0.952,0.94135,0.9771,0.74952,0.73738,0.42832,0.82689,3.90041e-05,3.90041e-05,3.90041e-05
81,4697.33,0.69846,0.47228,0.82013,0.94572,0.94474,0.97569,0.75011,0.72756,0.42636,0.82388,3.7232e-05,3.7232e-05,3.7232e-05
82,4757.25,0.69444,0.46431,0.81953,0.94919,0.93687,0.9745,0.74756,0.73437,0.43133,0.82658,3.54599e-05,3.54599e-05,3.54599e-05
