epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5035,1.30532,5.13566,0.95881,0.52011,0.10504,0.07257,0.05273,1.15007,2.87197,0.89033,5.94814e-05,5.94814e-05,5.94814e-05
2,57.7044,1.22548,3.53444,0.90763,0.53942,0.20702,0.16816,0.1186,1.0447,2.09408,0.88164,0.000117968,0.000117968,0.000117968
3,83.0999,1.1467,2.85194,0.8903,0.59062,0.28754,0.31144,0.22238,0.98887,1.63995,0.86417,0.000175274,0.000175274,0.000175274
4,110.875,1.06442,2.35296,0.88325,0.54157,0.35275,0.37044,0.26692,0.96653,1.38238,0.863,0.000173684,0.000173684,0.000173684
5,138.263,1.05551,2.06972,0.8792,0.68749,0.41027,0.47916,0.34677,0.93857,1.19419,0.85711,0.000171912,0.000171912,0.000171912
6,164.418,1.02294,1.83223,0.87188,0.63764,0.50724,0.53893,0.38605,0.93072,1.08848,0.85654,0.000170139,0.000170139,0.000170139
7,193.302,0.99172,1.68536,0.86964,0.66728,0.57567,0.61989,0.44373,0.8941,0.96799,0.84971,0.000168367,0.000168367,0.000168367
8,221.749,0.96622,1.5192,0.86585,0.71075,0.6325,0.68237,0.49396,0.88071,0.88825,0.84729,0.000166595,0.000166595,0.000166595
9,251.481,0.95895,1.41475,0.86682,0.76253,0.67629,0.73874,0.53107,0.86617,0.83748,0.8431,0.000164823,0.000164823,0.000164823
10,280.762,0.92794,1.31638,0.85938,0.74977,0.70221,0.76207,0.55296,0.86182,0.80718,0.84282,0.000163051,0.000163051,0.000163051
11,308.067,0.91253,1.2138,0.85509,0.79589,0.71782,0.80385,0.57878,0.85802,0.74609,0.84443,0.000161279,0.000161279,0.000161279
12,333.851,0.92188,1.16562,0.85699,0.84075,0.73531,0.8419,0.61585,0.84025,0.7128,0.83941,0.000159507,0.000159507,0.000159507
13,360.318,0.90205,1.09361,0.85374,0.83074,0.78085,0.85936,0.62773,0.83075,0.69303,0.84218,0.000157735,0.000157735,0.000157735
14,389.546,0.89119,1.06324,0.85521,0.87937,0.7888,0.87663,0.63628,0.85842,0.65829,0.84293,0.000155963,0.000155963,0.000155963
15,416.877,0.90046,1.0417,0.85733,0.88238,0.79469,0.89413,0.65102,0.83268,0.64278,0.84047,0.000154191,0.000154191,0.000154191
16,443.931,0.87653,0.99443,0.85211,0.89672,0.80943,0.88641,0.64609,0.82685,0.6417,0.83965,0.000152418,0.000152418,0.000152418
17,470.714,0.85839,0.95934,0.84941,0.89496,0.80057,0.92055,0.67779,0.82605,0.61779,0.83525,0.000150646,0.000150646,0.000150646
18,496.473,0.87282,0.92881,0.84854,0.91501,0.83578,0.91754,0.67104,0.83621,0.60186,0.84223,0.000148874,0.000148874,0.000148874
19,522.424,0.85854,0.89646,0.84601,0.85828,0.87267,0.9378,0.68396,0.8206,0.61754,0.84051,0.000147102,0.000147102,0.000147102
20,546.798,0.84597,0.87386,0.84455,0.85733,0.88604,0.92409,0.68859,0.79737,0.58227,0.83717,0.00014533,0.00014533,0.00014533
21,572.506,0.84335,0.85497,0.84562,0.90867,0.85896,0.9355,0.68854,0.81475,0.56814,0.84193,0.000143558,0.000143558,0.000143558
22,598.307,0.83641,0.83672,0.8419,0.88436,0.87338,0.94675,0.69887,0.79354,0.56461,0.83629,0.000141786,0.000141786,0.000141786
23,624.29,0.84643,0.8148,0.8405,0.91013,0.89076,0.95647,0.70414,0.80119,0.55602,0.83371,0.000140014,0.000140014,0.000140014
24,650.887,0.83197,0.79507,0.84228,0.89265,0.88734,0.95285,0.70389,0.81125,0.56043,0.84178,0.000138242,0.000138242,0.000138242
25,677.679,0.82864,0.76155,0.84041,0.91223,0.89319,0.95555,0.71041,0.79109,0.53975,0.83451,0.00013647,0.00013647,0.00013647
